,page,cat,infoboxes
799,Hội quán Phước An,Thể loại:Di tích tại Thành phố Hồ Chí Minh,
800,Hội quán Quảng Triệu (Thành phố Hồ Chí Minh),Thể loại:Di tích tại Thành phố Hồ Chí Minh,
801,Hội quán Quần Tân,Thể loại:Di tích tại Thành phố Hồ Chí Minh,
802,Hội quán Quỳnh Phủ (Thành phố Hồ Chí Minh),Thể loại:Di tích tại Thành phố Hồ Chí Minh,
803,Hội quán Tam Sơn,Thể loại:Di tích tại Thành phố Hồ Chí Minh,
804,Hội quán Tuệ Thành,Thể loại:Di tích tại Thành phố Hồ Chí Minh,
805,Láng Le – Bàu Cò,Thể loại:Di tích tại Thành phố Hồ Chí Minh,
806,Lăng Ông (Bà Chiểu),Thể loại:Di tích tại Thành phố Hồ Chí Minh,
807,Lò gốm cổ Hưng Lợi,Thể loại:Di tích tại Thành phố Hồ Chí Minh,
808,Ngã ba Giồng,Thể loại:Di tích tại Thành phố Hồ Chí Minh,
809,Nhà hát Thành phố Hồ Chí Minh,Thể loại:Di tích tại Thành phố Hồ Chí Minh,"Thông tin công trình xây dựng
"
810,Trụ sở Tòa án nhân dân Thành phố Hồ Chí Minh,Thể loại:Di tích tại Thành phố Hồ Chí Minh,
811,Trụ sở Ủy ban nhân dân Thành phố Hồ Chí Minh,Thể loại:Di tích tại Thành phố Hồ Chí Minh,"Thông tin công trình xây dựng
"
812,"Trường Trung học phổ thông chuyên Lê Hồng Phong, Thành phố Hồ Chí Minh",Thể loại:Di tích tại Thành phố Hồ Chí Minh,"Thông tin trường học
"
813,Trường Trung học phổ thông chuyên Trần Đại Nghĩa,Thể loại:Di tích tại Thành phố Hồ Chí Minh,"Thông tin trường học
"
814,"Trường Trung học phổ thông Lê Quý Đôn, Thành phố Hồ Chí Minh",Thể loại:Di tích tại Thành phố Hồ Chí Minh,"Thông tin trường học
"
815,Trường Trung học phổ thông Marie Curie,Thể loại:Di tích tại Thành phố Hồ Chí Minh,"Thông tin trường học
"
816,Trường Trung học phổ thông Nguyễn Thị Minh Khai,Thể loại:Di tích tại Thành phố Hồ Chí Minh,"Thông tin trường học
Thông tin buổi hòa nhạc"
818,Đồi Trại Thủy,Thể loại:Di tích tại Khánh Hòa,
819,Lăng Bà Vú,Thể loại:Di tích tại Khánh Hòa,
821,Thành cổ Diên Khánh,Thể loại:Di tích tại Khánh Hòa,
822,Văn miếu Diên Khánh,Thể loại:Di tích tại Khánh Hòa,
823,Đình Phú Cang,Thể loại:Đình tại Khánh Hòa,
826,Dinh Cậu,Thể loại:Di tích tại Kiên Giang,"Thông tin công trình xây dựng
"
827,Đền thờ họ Mạc,Thể loại:Di tích tại Kiên Giang,
828,Đình thần Nguyễn Trung Trực (Rạch Giá),Thể loại:Di tích tại Kiên Giang,"Thông tin đền Việt Nam
"
829,Mộ Hội đồng Suông,Thể loại:Di tích tại Kiên Giang,
830,Nền Chùa,Thể loại:Di tích tại Kiên Giang,
831,Núi Đá Dựng,Thể loại:Di tích tại Kiên Giang,
832,Núi Mo So,Thể loại:Di tích tại Kiên Giang,
833,Thủy Long Thánh Mẫu,Thể loại:Di tích tại Kiên Giang,
834,Đình thần Dương Đông,Thể loại:Đình tại Kiên Giang,
835,Lung Leng,Thể loại:Di tích tại Kon Tum,
836,Bến đá Kỳ Cùng,Thể loại:Di tích tại Lạng Sơn,
839,Đền Công Đồng Bắc Lệ,Thể loại:Di tích tại Lạng Sơn,
840,Đền Kỳ Cùng,Thể loại:Di tích tại Lạng Sơn,"Thông tin đền Việt Nam
"
841,Đình Pác Mòng,Thể loại:Di tích tại Lạng Sơn,
842,Thành nhà Mạc (Lạng Sơn),Thể loại:Di tích tại Lạng Sơn,
843,Căn cứ Bình Thành,Thể loại:Di tích tại Long An,
847,Cụm nhà cổ Thanh Phú Long,Thể loại:Di tích tại Long An,
848,Di tích khảo cổ Rạch Núi,Thể loại:Di tích tại Long An,"Thông tin hang động
"
849,Di tích Vàm Nhựt Tảo,Thể loại:Di tích tại Long An,
850,Đồn Rạch Cát,Thể loại:Di tích tại Long An,
851,Khu lưu niệm Nguyễn Thái Bình,Thể loại:Di tích tại Long An,
852,Khu vực Cầu Tre,Thể loại:Di tích tại Long An,
853,Khu vực Gò Sáu Ngọc,Thể loại:Di tích tại Long An,
854,Miếu Bà Ngũ Hành (Cần Giuộc),Thể loại:Di tích tại Long An,"Thông tin đền Việt Nam
"
855,Ngã ba mũi tàu,Thể loại:Di tích tại Long An,
856,Ngã tư Đức Hòa,Thể loại:Di tích tại Long An,
857,Nhà trăm cột,Thể loại:Di tích tại Long An,
858,Rạch Bà Kiểu,Thể loại:Di tích tại Long An,
859,Bia Lê Lợi,Thể loại:Di tích tại Lai Châu,
860,Động Tiên Sơn (Lai Châu),Thể loại:Di tích tại Lai Châu,
861,Dinh Hoàng A Tưởng,Thể loại:Di tích tại Lào Cai,
862,Đền Bảo Hà,Thể loại:Di tích tại Lào Cai,
863,Đền Cấm,Thể loại:Di tích tại Lào Cai,
864,Đền Mẫu Lào Cai,Thể loại:Di tích tại Lào Cai,
865,Đền Thượng (Lào Cai),Thể loại:Di tích tại Lào Cai,
866,Ga Đà Lạt,Thể loại:Di tích tại Lâm Đồng,"Thông tin nhà ga
"
867,Thánh địa Cát Tiên,Thể loại:Di tích tại Lâm Đồng,
868,Miếu xóm bánh,Thể loại:Di tích tại Ninh Thuận,
872,Nhà thờ chính tòa Bùi Chu,Thể loại:Di tích tại Nam Định,"Thông tin nhà thờ 
"
873,Cầu ngói chợ Lương,Thể loại:Di tích tại Nam Định,
874,Cầu ngói chợ Thượng,Thể loại:Di tích tại Nam Định,Infobox Bridge
876,Đình Ruối,Thể loại:Di tích tại Nam Định,
877,Giếng đá cổ Việt Nam,Thể loại:Di tích tại Nam Định,
879,Nhà thờ Lớn Nam Định,Thể loại:Di tích tại Nam Định,"Thông tin nhà thờ 
"
880,Phố cổ Thành Nam,Thể loại:Di tích tại Nam Định,
881,Phủ Dầy,Thể loại:Di tích tại Nam Định,
882,Quần thể di tích thờ Vua Đinh ở Nam Định,Thể loại:Di tích tại Nam Định,
883,Vương cung thánh đường Phú Nhai,Thể loại:Di tích tại Nam Định,"Thông tin nhà thờ 
"
884,Bia mộ Nguyễn Trường Tộ,Thể loại:Di tích tại Nghệ An,
885,Đền Cờn,Thể loại:Di tích tại Nghệ An,"Thông tin đền Việt Nam
"
886,Đền Khai Long,Thể loại:Di tích tại Nghệ An,
889,Làng Vạc,Thể loại:Di tích tại Nghệ An,
890,Nhà lưu niệm Nguyễn Tiềm,Thể loại:Di tích tại Nghệ An,
891,Đình Trung Cần,Thể loại:Đình tại Nghệ An,"Thông tin đền Việt Nam
"
893,Cầu ngói Phát Diệm,Thể loại:Di tích tại Ninh Bình,
894,Chiến khu Quỳnh Lưu,Thể loại:Di tích tại Ninh Bình,
897,Cửa biển Thần Phù,Thể loại:Di tích tại Ninh Bình,
899,Hành cung Vũ Lâm,Thể loại:Di tích tại Ninh Bình,
901,Đền Đông Hội,Thể loại:Di tích tại Ninh Bình,
902,Đền Kiến Ốc,Thể loại:Di tích tại Ninh Bình,"Thông tin đền Việt Nam
"
903,Đền Quảng Phúc,Thể loại:Di tích tại Ninh Bình,
904,Đền Thánh Nguyễn,Thể loại:Di tích tại Ninh Bình,
905,Đền thờ Vua Đinh Tiên Hoàng,Thể loại:Di tích tại Ninh Bình,
906,Đền thờ Vua Lê Đại Hành,Thể loại:Di tích tại Ninh Bình,"Thông tin đền Việt Nam
"
907,Đền Vân Thị,Thể loại:Di tích tại Ninh Bình,
908,Đền Vực Vông,Thể loại:Di tích tại Ninh Bình,
909,Động Hoa Lư,Thể loại:Di tích tại Ninh Bình,
911,Gián Khẩu,Thể loại:Di tích tại Ninh Bình,
913,Hoa Lư tứ trấn,Thể loại:Di tích tại Ninh Bình,
915,Nhà thờ chính tòa Phát Diệm,Thể loại:Di tích tại Ninh Bình,"Thông tin nhà thờ 
"
916,Nhà thờ họ Đào (Ninh Bình),Thể loại:Di tích tại Ninh Bình,
917,Nhà thờ họ Trương Việt Nam,Thể loại:Di tích tại Ninh Bình,
919,Phòng tuyến Tam Điệp,Thể loại:Di tích tại Ninh Bình,
920,Phủ Đồi Ngang,Thể loại:Di tích tại Ninh Bình,
921,Quần thể di tích thờ Vua Đinh ở Ninh Bình,Thể loại:Di tích tại Ninh Bình,
933,Đền thờ Công chúa Phất Kim,Thể loại:Di tích Cố đô Hoa Lư,
941,Phủ Vườn Thiên,Thể loại:Di tích Cố đô Hoa Lư,
942,Quần thể danh thắng Tràng An,Thể loại:Di tích Cố đô Hoa Lư,"Infobox UNESCO World Heritage Site
"
943,Sông Sào Khê,Thể loại:Di tích Cố đô Hoa Lư,
945,Đền Mẫu Âu Cơ,Thể loại:Di tích tại Phú Thọ,"Thông tin đền Việt Nam
"
946,Đền Trù Mật,Thể loại:Di tích tại Phú Thọ,
947,Đình Nông Trang,Thể loại:Di tích tại Phú Thọ,
948,Làng Cả,Thể loại:Di tích tại Phú Thọ,
951,Đồi Chóp Chài,Thể loại:Di tích tại Quảng Nam,
957,Trà Kiệu,Thể loại:Di tích tại Quảng Nam,
958,Hang Tám Cô,Thể loại:Di tích tại Quảng Bình,
959,Khu Túc,Thể loại:Di tích tại Quảng Bình,
960,Lũy Thầy,Thể loại:Di tích tại Quảng Bình,
961,Quảng Bình quan,Thể loại:Di tích tại Quảng Bình,
962,Thành Đồng Hới,Thể loại:Di tích tại Quảng Bình,
964,Cổ Lũy,Thể loại:Di tích tại Quảng Ngãi,
965,Thành cổ Châu Sa,Thể loại:Di tích tại Quảng Ngãi,
967,Vạn Tường,Thể loại:Di tích tại Quảng Ngãi,
972,Đền Cặp Tiên,Thể loại:Di tích tại Quảng Ninh,
974,Hai cây lim giếng Rừng,Thể loại:Di tích tại Quảng Ninh,
975,Khu di tích lịch sử Đồn Cao,Thể loại:Di tích tại Quảng Ninh,
977,"Nhà thờ họ Đào thôn Lưu Khê, Quảng Yên, Quảng Ninh",Thể loại:Di tích tại Quảng Ninh,
980,Thương cảng Vân Đồn,Thể loại:Di tích tại Quảng Ninh,
981,Khu di tích lịch sử và danh thắng Yên Tử,Thể loại:Di tích tại Quảng Ninh,
982,Đình Lục Nà,Thể loại:Đình tại Quảng Ninh,
983,Đình Quan Lạn,Thể loại:Đình tại Quảng Ninh,"Thông tin đền Việt Nam
"
984,Đình Trà Cổ,Thể loại:Đình tại Quảng Ninh,
987,Khe Sanh,Thể loại:Di tích tại Quảng Trị,Thông tin đơn vị hành chính Việt Nam
988,Nghĩa trang liệt sĩ Trường Sơn,Thể loại:Di tích tại Quảng Trị,"Thông tin nghĩa trang
"
989,Nhà tù Lao Bảo,Thể loại:Di tích tại Quảng Trị,"Infobox
Infobox
"
990,Sân bay Tà Cơn,Thể loại:Di tích tại Quảng Trị,"Infobox
Infobox
"
991,Thành cổ Quảng Trị,Thể loại:Di tích tại Quảng Trị,"Infobox di tích lịch sử
"
993,Tháp Mường Bám,Thể loại:Di tích tại Sơn La,
994,Tháp Mường Và,Thể loại:Di tích tại Sơn La,
1000,Cầu ngói Thanh Toàn,Thể loại:Di tích tại Thừa Thiên Huế,
1001,Chín Hầm,Thể loại:Di tích tại Thừa Thiên Huế,
1002,Cồn Dã Viên,Thể loại:Di tích tại Thừa Thiên Huế,
1007,Tam Tòa,Thể loại:Di tích tại Thừa Thiên Huế,
1009,Các di tích ngoài Kinh thành Huế,Thể loại:Di tích Cố đô Huế,
1010,Các đàn tế cổ tại Huế,Thể loại:Di tích Cố đô Huế,
1012,Cố đô Huế,Thể loại:Di tích Cố đô Huế,"Infobox Military Structure
"
1015,Cung Khôn Thái,Thể loại:Di tích Cố đô Huế,
1017,Cửu Đỉnh (nhà Nguyễn),Thể loại:Di tích Cố đô Huế,
1020,Đàn Âm Hồn,Thể loại:Di tích Cố đô Huế,Infobox Mandir
1021,Đàn Nam Giao (triều Nguyễn),Thể loại:Di tích Cố đô Huế,"Infobox Mandir 
"
1022,Đàn Sơn Xuyên,Thể loại:Di tích Cố đô Huế,Infobox Mandir
1023,Đàn Tiên Nông,Thể loại:Di tích Cố đô Huế,Infobox Mandir
1027,Điện Hòn Chén,Thể loại:Di tích Cố đô Huế,"Infobox Mandir 
"
1030,Điện Phụng Tiên (Hoàng thành Huế),Thể loại:Di tích Cố đô Huế,
1032,Điện Voi Ré,Thể loại:Di tích Cố đô Huế,"Infobox Mandir 
"
1033,Đình Phú Vĩnh,Thể loại:Di tích Cố đô Huế,"Thông tin đền Việt Nam
"
1035,Hệ thống thơ văn trên kiến trúc cung đình Huế,Thể loại:Di tích Cố đô Huế,
1036,Hiển Lâm các,Thể loại:Di tích Cố đô Huế,
1038,Hổ Quyền,Thể loại:Di tích Cố đô Huế,"Infobox Mandir
"
1039,Hộ thành hào (Kinh thành Huế),Thể loại:Di tích Cố đô Huế,
1041,Hưng Tổ miếu (Hoàng thành Huế),Thể loại:Di tích Cố đô Huế,"Thông tin đền Việt Nam
"
1044,Lăng Dục Đức,Thể loại:Di tích Cố đô Huế,"Infobox Mandir 
"
1045,Lăng Đồng Khánh,Thể loại:Di tích Cố đô Huế,"Infobox Mandir
"
1046,Lăng Gia Long,Thể loại:Di tích Cố đô Huế,
1047,Lăng Khải Định,Thể loại:Di tích Cố đô Huế,"Infobox Mandir
"
1048,Lăng Minh Mạng,Thể loại:Di tích Cố đô Huế,
1049,Lăng tẩm Huế,Thể loại:Di tích Cố đô Huế,
1050,Lăng Thiệu Trị,Thể loại:Di tích Cố đô Huế,
1051,Lăng Thoại Thánh,Thể loại:Di tích Cố đô Huế,
1052,Lăng Tự Đức,Thể loại:Di tích Cố đô Huế,"Infobox Mandir 
"
1053,Lăng Vạn Vạn,Thể loại:Di tích Cố đô Huế,
1055,Linh Hựu quán,Thể loại:Di tích Cố đô Huế,
1056,Miếu Lịch đại đế vương,Thể loại:Di tích Cố đô Huế,"Thông tin đền Việt Nam
"
1057,Nghênh Lương đình,Thể loại:Di tích Cố đô Huế,
1059,Phu Văn lâu,Thể loại:Di tích Cố đô Huế,
1060,Quan Tượng Đài,Thể loại:Di tích Cố đô Huế,
1064,Sân Đại Triều Nghi (Hoàng thành Huế),Thể loại:Di tích Cố đô Huế,
1065,Sông An Hòa,Thể loại:Di tích Cố đô Huế,
1066,Sông Đông Ba,Thể loại:Di tích Cố đô Huế,
1067,Sông Kẻ Vạn,Thể loại:Di tích Cố đô Huế,
1068,Sông Ngự Hà,Thể loại:Di tích Cố đô Huế,
1072,Thái Tổ miếu (Hoàng thành Huế),Thể loại:Di tích Cố đô Huế,
1073,Thần kinh nhị thập cảnh,Thể loại:Di tích Cố đô Huế,Infobox Book 
1075,Tòa Thương Bạc,Thể loại:Di tích Cố đô Huế,
1076,Trấn Bình đài,Thể loại:Di tích Cố đô Huế,
1077,Trấn Hải thành,Thể loại:Di tích Cố đô Huế,
1078,Triệu Tổ miếu (Hoàng thành Huế),Thể loại:Di tích Cố đô Huế,"Thông tin đền Việt Nam
"
1079,Tử Cấm thành (Huế),Thể loại:Di tích Cố đô Huế,
1080,Vạc đồng (nhà Nguyễn),Thể loại:Di tích Cố đô Huế,
1081,Văn miếu (Huế),Thể loại:Di tích Cố đô Huế,"Infobox ancient site
"
1083,Võ miếu (Huế),Thể loại:Di tích Cố đô Huế,"Infobox Mandir 
"
1087,Đài tưởng niệm chiến sĩ trận vong (Huế),Thể loại:Di tích ngoài Kinh Thành Huế,
1098,Lăng Kiến Phúc,Thể loại:Di tích ngoài Kinh Thành Huế,
1103,Lăng Trường Cơ,Thể loại:Di tích ngoài Kinh Thành Huế,
1104,Lăng Trường Diên,Thể loại:Di tích ngoài Kinh Thành Huế,
1105,Lăng Trường Diễn,Thể loại:Di tích ngoài Kinh Thành Huế,
1106,Lăng Trường Hưng,Thể loại:Di tích ngoài Kinh Thành Huế,
1107,Lăng Trường Mậu,Thể loại:Di tích ngoài Kinh Thành Huế,
1108,Lăng Trường Phong,Thể loại:Di tích ngoài Kinh Thành Huế,
1109,Lăng Trường Thái,Thể loại:Di tích ngoài Kinh Thành Huế,
1110,Lăng Trường Thanh,Thể loại:Di tích ngoài Kinh Thành Huế,
1111,Lăng Trường Thiệu,Thể loại:Di tích ngoài Kinh Thành Huế,
1116,Núi Bân,Thể loại:Di tích ngoài Kinh Thành Huế,
1131,Khu vực các miếu thờ ở Đại Nội Huế,Thể loại:Hoàng thành Huế,
1142,Dinh Đốc phủ Hải,Thể loại:Di tích tại Tiền Giang,"Thông tin công trình xây dựng
"
1143,Đình Mỹ Lương,Thể loại:Di tích tại Tiền Giang,"Thông tin đền Việt Nam
"
1144,Gò Thành,Thể loại:Di tích tại Tiền Giang,
1146,Lăng Hoàng gia,Thể loại:Di tích tại Tiền Giang,
1147,Lăng Trương Định,Thể loại:Di tích tại Tiền Giang,
1148,Lăng Tứ Kiệt,Thể loại:Di tích tại Tiền Giang,"Thông tin công trình xây dựng
Infobox mapframe"
1150,Ao Bà Om,Thể loại:Di tích tại Trà Vinh,"Infobox
Infobox
"
1154,Đền thờ Chủ tịch Hồ Chí Minh (Trà Vinh),Thể loại:Di tích tại Trà Vinh,"Thông tin đền Việt Nam
"
1155,Căn cứ Dương Minh Châu,Thể loại:Di tích tại Tây Ninh,
1156,Cầu Quan (cầu tại Tây Ninh),Thể loại:Di tích tại Tây Ninh,
1157,Đình Hiệp Ninh,Thể loại:Di tích tại Tây Ninh,"Infobox religious building
"
1160,Tháp Bình Thạnh,Thể loại:Di tích tại Tây Ninh,
1161,Tháp Chót Mạt,Thể loại:Di tích tại Tây Ninh,
1162,Danh sách di tích tỉnh Thái Bình,Thể loại:Di tích tại Thái Bình,
1163,Đền Đồng Bằng,Thể loại:Di tích tại Thái Bình,
1164,Đền Đồng Xâm,Thể loại:Di tích tại Thái Bình,
1165,Đền Ngọc Quế,Thể loại:Di tích tại Thái Bình,"Thông tin đền Việt Nam
"
1166,Đền Thánh Mẫu (Thái Bình),Thể loại:Di tích tại Thái Bình,
1167,Đền Tiên La,Thể loại:Di tích tại Thái Bình,
1169,Đền Vua Rộc,Thể loại:Di tích tại Thái Bình,
1171,Bia Vĩnh Lăng,Thể loại:Di tích tại Thanh Hóa,
1172,Cầu Hàm Rồng,Thể loại:Di tích tại Thanh Hóa,
1173,Chiến khu Ba Đình,Thể loại:Di tích tại Thanh Hóa,
1176,Đền Cô Tiên,Thể loại:Di tích tại Thanh Hóa,
1177,Đền Độc Cước,Thể loại:Di tích tại Thanh Hóa,
1180,Khu di tích lò gốm Tam Thọ,Thể loại:Di tích tại Thanh Hóa,
1181,Kinh đô Vạn Lại – An Trường,Thể loại:Di tích tại Thanh Hóa,
1183,Nghè Xuân Phả,Thể loại:Di tích tại Thanh Hóa,
1184,Thành nhà Hồ,Thể loại:Di tích tại Thanh Hóa,"Infobox UNESCO World Heritage Site
"
1185,Đình Bảng Môn,Thể loại:Đình tại Thanh Hóa,
1186,Thành cổ Tuyên Quang,Thể loại:Di tích tại Tuyên Quang,
1187,Công Thần Miếu Vĩnh Long,Thể loại:Di tích tại Vĩnh Long,
1188,Rạch Cầu Lầu,Thể loại:Di tích tại Vĩnh Long,
1189,Thành Vĩnh Long,Thể loại:Di tích tại Vĩnh Long,
1190,Văn Thánh Miếu Vĩnh Long,Thể loại:Di tích tại Vĩnh Long,"Infobox
#invoke:InfoboxImage"
1191,Đình Long Thanh,Thể loại:Đình tại Vĩnh Long,"Thông tin đền Việt Nam
"
1192,Đình Tân Giai,Thể loại:Đình tại Vĩnh Long,
1193,Đình Tân Hoa,Thể loại:Đình tại Vĩnh Long,
1194,Đình Tân Ngãi,Thể loại:Đình tại Vĩnh Long,
1198,Khu di tích Đền Gia Loan – Chùa Biện Sơn,Thể loại:Di tích tại Vĩnh Phúc,
1199,Khu di tích và danh thắng Tây Thiên,Thể loại:Di tích tại Vĩnh Phúc,
1201,Thiền viện Trúc Lâm Tây Thiên,Thể loại:Di tích tại Vĩnh Phúc,"Thông tin chùa
"
1202,Bến Âu Lâu,Thể loại:Di tích tại Yên Bái,
1203,Chiến khu Vần,Thể loại:Di tích tại Yên Bái,
1228,Thành Bát Quái,Thể loại:Thành Việt Nam thời Nguyễn,"Infobox Military Structure
"
1230,Thành Gia Định,Thể loại:Thành Việt Nam thời Nguyễn,"Infobox Military Structure
"
1231,Hạc thành,Thể loại:Thành Việt Nam thời Nguyễn,
1232,Thành cổ Quảng Ngãi,Thể loại:Thành Việt Nam thời Nguyễn,
1237,Thành Phụng,Thể loại:Thành Việt Nam thời Nguyễn,"Infobox Military Structure
"
1240,Bảo tàng Lăng mộ Triệu Văn Đế,Thể loại:Di tích lịch sử Việt Nam tại Trung Quốc,
1241,Cung điện Phiên Ngung,Thể loại:Di tích lịch sử Việt Nam tại Trung Quốc,
1242,Di tích đập nước bằng gỗ thời Triệu,Thể loại:Di tích lịch sử Việt Nam tại Trung Quốc,
1243,Mộ số 1 La Bạc Loan,Thể loại:Di tích lịch sử Việt Nam tại Trung Quốc,
1244,Phiên Ngung (kinh đô),Thể loại:Di tích lịch sử Việt Nam tại Trung Quốc,
1245,Cảng thị Thanh Hà – Bao Vinh,Thể loại:Phố cổ tại Việt Nam,
1246,Phố cổ Đồng Văn,Thể loại:Phố cổ tại Việt Nam,
1247,Khu phố cổ Hà Nội,Thể loại:Phố cổ tại Việt Nam,
1251,Hội quán Triều Châu (Hội An),Thể loại:Phố cổ Hội An,
1254,Phố Hàng Bồ,Thể loại:Khu phố cổ Hà Nội,
1255,Phố Hàng Bút,Thể loại:Khu phố cổ Hà Nội,Thông tin đường đô thị Việt Nam 
1256,Phố Hàng Bạc,Thể loại:Khu phố cổ Hà Nội,Thông tin đường đô thị Việt Nam 
1257,Phố Hàng Bè,Thể loại:Khu phố cổ Hà Nội,Thông tin đường đô thị Việt Nam 
1258,Phố Hàng Bông,Thể loại:Khu phố cổ Hà Nội,Thông tin đường đô thị Việt Nam 
1259,Phố Hàng Buồm,Thể loại:Khu phố cổ Hà Nội,
1260,Phố Hàng Cót,Thể loại:Khu phố cổ Hà Nội,
1261,Phố Hàng Cá,Thể loại:Khu phố cổ Hà Nội,
1262,Phố Hàng Cân,Thể loại:Khu phố cổ Hà Nội,
1263,Phố Cầu Gỗ,Thể loại:Khu phố cổ Hà Nội,
1264,Phố Hàng Chai,Thể loại:Khu phố cổ Hà Nội,
1265,Phố Hàng Chiếu,Thể loại:Khu phố cổ Hà Nội,
1266,Phố Hàng Chĩnh,Thể loại:Khu phố cổ Hà Nội,
1267,Phố Hàng Chuối,Thể loại:Khu phố cổ Hà Nội,
1268,Phố Cửa Đông,Thể loại:Khu phố cổ Hà Nội,
1269,Phố Hàng Da,Thể loại:Khu phố cổ Hà Nội,
1270,Phố Hàng Đào,Thể loại:Khu phố cổ Hà Nội,
1271,Phố Hàng Đậu,Thể loại:Khu phố cổ Hà Nội,
1272,Phố Hàng Điếu,Thể loại:Khu phố cổ Hà Nội,
1273,Phố Hàng Đồng,Thể loại:Khu phố cổ Hà Nội,
1274,Phố Hàng Đường,Thể loại:Khu phố cổ Hà Nội,
1275,Phố Hàng Gà,Thể loại:Khu phố cổ Hà Nội,
1276,Phố Hàng Gai,Thể loại:Khu phố cổ Hà Nội,
1277,Phố Hàng Giầy,Thể loại:Khu phố cổ Hà Nội,
1278,Phố Hàng Giấy,Thể loại:Khu phố cổ Hà Nội,
1279,Ngõ Gạch,Thể loại:Khu phố cổ Hà Nội,
1280,Phố Hàng Hòm,Thể loại:Khu phố cổ Hà Nội,
1281,Phố Hàng Khoai,Thể loại:Khu phố cổ Hà Nội,
1282,Phố Hàng Lược,Thể loại:Khu phố cổ Hà Nội,
1283,Phố Hàng Mã,Thể loại:Khu phố cổ Hà Nội,
1284,Phố Hàng Mành,Thể loại:Khu phố cổ Hà Nội,
1285,Phố Hàng Mắm,Thể loại:Khu phố cổ Hà Nội,
1286,Phố Hàng Muối,Thể loại:Khu phố cổ Hà Nội,
1287,Phố Mã Mây,Thể loại:Khu phố cổ Hà Nội,
1288,Phố Hàng Ngang,Thể loại:Khu phố cổ Hà Nội,
1289,Phố Nhà Hỏa,Thể loại:Khu phố cổ Hà Nội,
1290,Phố Hàng Nón,Thể loại:Khu phố cổ Hà Nội,Thông tin đường đô thị Việt Nam 
1291,Phố Ô Quan Chưởng,Thể loại:Khu phố cổ Hà Nội,
1292,Phố Hàng Phèn,Thể loại:Khu phố cổ Hà Nội,
1293,Phố Hàng Quạt,Thể loại:Khu phố cổ Hà Nội,
1294,Phố Hàng Thùng,Thể loại:Khu phố cổ Hà Nội,Thông tin đường đô thị Việt Nam 
1295,Phố Hàng Tre,Thể loại:Khu phố cổ Hà Nội,Thông tin đường đô thị Việt Nam 
1296,Phố Hàng Vải,Thể loại:Khu phố cổ Hà Nội,
1299,Đền An Sinh,Thể loại:Đền tại Việt Nam,"Thông tin đền Việt Nam
"
1309,Đền Bà Chúa Kho,Thể loại:Đền tại Việt Nam,
1312,Đền Choọng,Thể loại:Đền tại Việt Nam,"Thông tin đền Việt Nam
"
1314,Đền Cuông,Thể loại:Đền tại Việt Nam,"Thông tin đền Việt Nam
"
1315,Đền Đoan,Thể loại:Đền tại Việt Nam,
1316,Đền Đươi,Thể loại:Đền tại Việt Nam,
1318,Đền Hiển Trung,Thể loại:Đền tại Việt Nam,
1319,Đền Khê Khẩu,Thể loại:Đền tại Việt Nam,
1323,Đền Ông Hoàng Mười,Thể loại:Đền tại Việt Nam,
1324,Đền Phú Xá,Thể loại:Đền tại Việt Nam,"Thông tin đền Việt Nam
"
1328,Đền thờ Trần Hưng Đạo (Thành phố Hồ Chí Minh),Thể loại:Đền tại Việt Nam,"Thông tin đền Việt Nam
"
1330,Đền thờ Vua Hùng,Thể loại:Đền tại Việt Nam,
1331,Đền thờ Vua Hùng (Cần Thơ),Thể loại:Đền tại Việt Nam,
1333,Đền Thượng,Thể loại:Đền tại Việt Nam,
1335,Đền Thượng (Quỳnh Nghĩa),Thể loại:Đền tại Việt Nam,
1336,Đền Tranh,Thể loại:Đền tại Việt Nam,
1339,Đền Vạn Kiếp,Thể loại:Đền tại Việt Nam,
1340,Đền Vân Luông,Thể loại:Đền tại Việt Nam,"Thông tin công trình xây dựng
"
1343,Điện Đông Hải,Thể loại:Đền tại Việt Nam,
1345,Đền Đuổm,Thể loại:Đền tại Việt Nam,
1346,Đền Đức Hoàng,Thể loại:Đền tại Việt Nam,
1348,Đền Dạ Trạch,Thể loại:Đền tại Việt Nam,"Thông tin công trình xây dựng
"
1350,Đền thờ Vua Hùng (Thảo Cầm Viên),Thể loại:Đền tại Việt Nam,
1357,Đền Mẫu Bát Tràng,Thể loại:Đền tại Việt Nam,
1368,Từ Lương Xâm,Thể loại:Đền tại Việt Nam,"Thông tin đền Việt Nam
"
1373,Đình làng Nam Bộ,Thể loại:Đình Việt Nam,
1375,Miếu Đại Trung,Thể loại:Miếu Việt Nam,"Thông tin đền Việt Nam
"
1385,Miếu Quan Đế (Phan Thiết),Thể loại:Miếu Việt Nam,
1404,Đình Chu Quyến,Thể loại:Đình tại Hà Nội,"Thông tin đền Việt Nam
"
1406,Đình Đào Nguyên,Thể loại:Đình tại Hà Nội,"Thông tin đền Việt Nam
"
1408,Đình Giàn,Thể loại:Đình tại Hà Nội,"Thông tin đền Việt Nam
"
1411,Đền Kim Liên,Thể loại:Đình tại Hà Nội,"Thông tin đền Việt Nam
"
1412,Đình Mông Phụ,Thể loại:Đình tại Hà Nội,"Thông tin đền Việt Nam
"
1417,Đình Vĩnh Ninh,Thể loại:Đình tại Hà Nội,"Thông tin đền Việt Nam
"
1418,Đình Yên Sở,Thể loại:Đình tại Hà Nội,"Thông tin đền Việt Nam
"
